Data_type,Reported_station_name,Sampling_date,Scientific_name,ValuePhytoplankton,Data_type,Scientific_name,ValueZooplankton
Phytoplankton,B1,2019-01-21,Aphanocapsa,0.015000000,Zooplankton,"Eurytemora affinis",0.028571390
Phytoplankton,B1,2019-02-11,Aphanocapsa,0.040000000,Zooplankton,"Eurytemora affinis",0.051428570
Phytoplankton,B1,2019-03-19,Aphanocapsa,0.546750000,Zooplankton,"Eurytemora affinis",0.022857100
Phytoplankton,B1,2019-04-11,Aphanocapsa,0.162000000,Zooplankton,"Eurytemora affinis",0.171428100
Phytoplankton,B1,2019-04-16,Aphanocapsa,0.081000000,Zooplankton,"Eurytemora affinis",0.342856900
Phytoplankton,B1,2019-04-23,Aphanocapsa,0.060000000,Zooplankton,"Eurytemora affinis",0.377143000
Phytoplankton,B1,2019-05-06,Aphanocapsa,0.040000000,Zooplankton,"Eurytemora affinis",0.342857700
Phytoplankton,B1,2019-05-22,Aphanocapsa,1.080000000,Zooplankton,"Eurytemora affinis",0.354285300
Phytoplankton,B1,2019-06-03,Aphanocapsa,3.450000000,Zooplankton,"Eurytemora affinis",0.308571000
Phytoplankton,B1,2019-06-18,Aphanocapsa,26.811000000,Zooplankton,"Eurytemora affinis",1.057143000
Phytoplankton,B1,2019-07-04,Aphanocapsa,4.374000000,Zooplankton,"Eurytemora affinis",1.914285100
Phytoplankton,B1,2019-07-16,Aphanocapsa,22.752500000,Zooplankton,"Eurytemora affinis",12.342860000
Phytoplankton,B1,2019-07-29,Aphanocapsa,123.475000000,Zooplankton,"Eurytemora affinis",15.885718000
Phytoplankton,B1,2019-08-13,Aphanocapsa,0.445500000,Zooplankton,"Eurytemora affinis",5.371424900
Phytoplankton,B1,2019-08-26,Aphanocapsa,1.113750000,Zooplankton,"Eurytemora affinis",0.171428600
Phytoplankton,B1,2019-09-10,Aphanocapsa,2.814750000,Zooplankton,"Eurytemora affinis",0.342856800
Phytoplankton,B1,2019-09-23,Aphanocapsa,5.285250000,Zooplankton,"Eurytemora affinis",1.508573800
Phytoplankton,B1,2019-10-08,Aphanocapsa,3.620000000,Zooplankton,"Eurytemora affinis",0.857143000
Phytoplankton,B1,2019-10-22,Aphanocapsa,1.174500000,Zooplankton,"Eurytemora affinis",0.639999900
Phytoplankton,B1,2019-11-11,Aphanocapsa,0.560000000,Zooplankton,"Eurytemora affinis",0.982857100
Phytoplankton,B1,2019-12-09,Aphanocapsa,0.010000000,Zooplankton,"Eurytemora affinis",0.160000200
