Data_type,Reported_station_name,Sampling_date,Scientific_name,ValuePhytoplankton,Data_type,Scientific_name,ValueZooplankton
Phytoplankton,B1,2019-04-11,Aphanocapsa,0.162000000,Zooplankton,"Keratella quadrata",0.034285700
Phytoplankton,B1,2019-04-16,Aphanocapsa,0.081000000,Zooplankton,"Keratella quadrata",0.005714290
Phytoplankton,B1,2019-05-22,Aphanocapsa,1.080000000,Zooplankton,"Keratella quadrata",0.022857100
Phytoplankton,B1,2019-07-04,Aphanocapsa,4.374000000,Zooplankton,"Keratella quadrata",0.028571400
Phytoplankton,B1,2019-07-16,Aphanocapsa,22.752500000,Zooplankton,"Keratella quadrata",1.714290000
Phytoplankton,B1,2019-07-29,Aphanocapsa,123.475000000,Zooplankton,"Keratella quadrata",25.942900000
Phytoplankton,B1,2019-08-13,Aphanocapsa,0.445500000,Zooplankton,"Keratella quadrata",13.028600000
Phytoplankton,B1,2019-08-26,Aphanocapsa,1.113750000,Zooplankton,"Keratella quadrata",3.942860000
Phytoplankton,B1,2019-09-10,Aphanocapsa,2.814750000,Zooplankton,"Keratella quadrata",0.871429000
Phytoplankton,B1,2019-09-23,Aphanocapsa,5.285250000,Zooplankton,"Keratella quadrata",0.617143000
Phytoplankton,B1,2019-10-08,Aphanocapsa,3.620000000,Zooplankton,"Keratella quadrata",0.514286000
Phytoplankton,B1,2019-10-22,Aphanocapsa,1.174500000,Zooplankton,"Keratella quadrata",0.354286000
Phytoplankton,B1,2019-11-11,Aphanocapsa,0.560000000,Zooplankton,"Keratella quadrata",0.137143000
Phytoplankton,B1,2019-12-09,Aphanocapsa,0.010000000,Zooplankton,"Keratella quadrata",0.011428600
